experiment_id	hypothesis	description	status	primary_score	feasible	primary_score_eligible	keep_eligible	current_best_before	best_improvement	baseline_improvement_total	recovery_total	treatment_cost_total	over_treatment_penalty_total	missed_opportunity_penalty_total	policy_penalty_total	net_utility	utility_per_account	human_rate	no_contact_count	digital_count	payment_plan_count	human_count	roc_auc	pr_auc	brier_score	runtime_seconds	base_commit	accepted_commit	candidate_hash	evaluator_version	evaluator_hash	artifact_hash	error
exp_001	Risk times log current positive balance improves human allocation utility over raw risk.	rank human allocation by risk times log exposure	KEEP	905.0170401896044	True	True	True	805.1444747208843	99.87256546872004	449426.54460924026	4431321.68085322	250875.0	107870.0	0.0	0.0	4072576.6808532197	905.0170401896044	0.35	0	2925	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	13.833338184980676	1b2f39949193df934a70cbcec5aad3d81b1b175e	038c90324ef77813029b54c5ab102d061b8b4dbf	dc8da2aa884126a6d3323433f2a2512232163984fe1787d1ae62de966a7e132c	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	90679fcd6e612d9c016e1bc1f8df676003bec66b4c2856072708559c28175a25	
exp_002	Risk times square-root exposure improves value targeting over logarithmic exposure weighting.	rank human allocation by risk times sqrt exposure	KEEP	987.8621499913814	True	True	True	905.0170401896044	82.84510980177708	822229.5387172373	4810584.674961217	250875.0	114330.0	0.0	0.0	4445379.674961217	987.8621499913814	0.35	0	2925	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.112991773989052	038c90324ef77813029b54c5ab102d061b8b4dbf	1b28c75169ea5d283636a19fae55214de1563438	56ca37c434e3da7ec8b719ea0cfe623dc3f19df01fd8e565b59d635bf3669f04	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	1b8f903df47dc694fdc5072d8e26ec4dee6080fff0a0261c0315b93aaf91f0dd	
exp_003	Risk times linear exposure improves protected utility over square-root exposure weighting.	rank human allocation by risk times exposure	REVERT	986.0373323076442	True	True	False	987.8621499913814	-1.8248176837372512	814017.8591404194	4809117.995384399	250875.0	121075.0	0.0	0.0	4437167.995384399	986.0373323076442	0.35	0	2925	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.249372988007963	1b28c75169ea5d283636a19fae55214de1563438		fe77640fde84e4f504f6d5c752f0883e907ec72da04b5298d2dec2d52a7cd18b	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	a4c6733c0be94ac73507b48fc4b634c736167297a98fd75b7ba9458e38552a05	
exp_004	Risk times exposure to the 0.75 power improves utility over square-root weighting.	rank human allocation by risk times exposure power 0.75	KEEP	989.3662191343817	True	True	True	987.8621499913814	1.5040691430002653	828997.849860738	4821532.9861047175	250875.0	118510.0	0.0	0.0	4452147.9861047175	989.3662191343817	0.35	0	2925	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.146742734999862	1b28c75169ea5d283636a19fae55214de1563438	aa8b9036b6ace2b0410bf46656a3739464a5377d	0e62e21f3ad550d823084ee3240709bf09683c3c025b1845eee259841761dd65	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	4a45e78ea9e9180e3c1013114e6b9c9de9a622c11460cb5be9035146e9cf460f	
exp_005	Exposure power 0.65 better balances risk and balance value than power 0.75.	rank human allocation by risk times exposure power 0.65	KEEP	991.2670001939345	True	True	True	989.3662191343817	1.9007810595527417	837551.3646287257	4828756.500872705	250875.0	117180.0	0.0	0.0	4460701.500872705	991.2670001939345	0.35	0	2925	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.578903493995313	aa8b9036b6ace2b0410bf46656a3739464a5377d	ef84303f34af9b6b51d725b859e0d668700c91cc	b8e7e1d858d7dc489ceafe2f1df3a7435c8f8474bd9a2bb2c40081e7f2100471	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	506df2a5f9e2b9a1e23ed56745db2640362fd1005f5f8f52cbd3fc0c3bafb099	
exp_006	A controlled candidate crash is recorded and restores the last accepted train.py without stopping the pilot.	exercise crash recovery	CRASH					991.2670001939345																			ef84303f34af9b6b51d725b859e0d668700c91cc		22084baaabaf8f358c49ec55e6471289acf7fe9114a5965c99b0f397588273d1				candidate exited 1
exp_007	A 40 percent human allocation is rejected by the frozen 35 percent feasibility boundary regardless of raw utility.	verify infeasible capacity rejection	REVERT	-1e+18	False	False	False	991.2670001939345	-1.000000000000001e+18	819826.5305474764	4917671.666791456	283500.0	134945.0	0.0	56250.0	4442976.666791456	987.328148175879	0.4	0	2700	0	1800	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.734835026029032	ef84303f34af9b6b51d725b859e0d668700c91cc		0c9cf3d01ae88b2460231020f5651d3bb7d04de80dc180cb16fafb44ffae8c96	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	6fdca25205d9a3bc4bd0d0905e86129a35730eb20d4f37e9edd64238352e86c2	
exp_008	Using 30 percent human capacity improves utility if marginal escalations are not cost-effective.	reduce human allocation to 30 percent	REVERT	977.2346175996544	True	True	False	991.2670001939345	-14.03238259428008	774405.642954465	4715125.7791984435	218250.0	99320.0	0.0	0.0	4397555.779198444	977.2346175996544	0.3	0	3150	0	1350	0.7745348712177148	0.5502255944892724	0.13523340157656155	12.313293123035692	ef84303f34af9b6b51d725b859e0d668700c91cc		0998e2d62b6fac643c6925969be501baa6d85eba2ced30c2f656f37fe2178795	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	fc01ae53e614b42552582e6619b72e2c65976feeddf52140a3ee170d03442488	
exp_009	Exposure power 0.60 improves protected utility over the accepted 0.65 weighting.	rank human allocation by risk times exposure power 0.60	KEEP	991.5792565828251	True	True	True	991.2670001939345	0.31225638889065976	838956.5183787337	4829781.654622713	250875.0	116800.0	0.0	0.0	4462106.654622713	991.5792565828251	0.35	0	2925	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	13.106864142988343	ef84303f34af9b6b51d725b859e0d668700c91cc	b4aa8ab7ce3d67032b2934e122a11804f3108db5	4c002ce7fefdffb6de888de7e647417db6a9bee38cd8aec05d85069fa4a97c52	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	f5f469341d8b3ea185f5e8e56b193c30d72be35e683d90fadc0a500305b13301	
exp_010	Exposure power 0.58 improves protected utility over the accepted 0.60 weighting.	rank human allocation by risk times exposure power 0.58	REVERT	988.6509819393713	True	True	False	991.5792565828251	-2.9282746434538467	825779.2824831912	4816129.418727171	250875.0	116325.0	0.0	0.0	4448929.418727171	988.6509819393713	0.35	0	2925	0	1575	0.7745348712177148	0.5502255944892724	0.13523340157656155	13.489196927053854	b4aa8ab7ce3d67032b2934e122a11804f3108db5		96f222dd376c0017c17315164c9922374fea161de2aa64b15aa14a07cca2c44c	phase5_evaluator_v1	ce12ee3e53f2af91ac7b00af24e50476fe28824dbf7d47c509608ee78ef46fc3	22586df64fb287cc3f3f37263f2e080f59776b66a7b23e7b6b0219ef64d20e67	
